sample_id,condition,task_type,field_match,accuracy,leakage,cmd_valid,unmask_success,latency_sec,input_tokens,output_tokens
B3-017,C1,qos_config,1.0,1.0,0.0,1.0,1.0,1.1203,333,81
B3-018,C1,qos_config,0.75,1.0,0.0,1.0,1.0,1.1302,360,102
B3-019,C1,qos_config,1.0,1.0,0.0,1.0,1.0,1.0376,336,88
B3-020,C1,qos_config,0.8,1.0,0.0,1.0,1.0,1.1213,325,79
B3-021,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.0352,322,104
B3-022,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.1202,317,91
B3-023,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.2092,386,114
B3-024,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.1204,310,83
B3-025,C1,sdn_flow_config,0.8333,1.0,0.0,1.0,1.0,1.1204,318,102
B3-026,C1,sdn_flow_config,0.4,0.5,0.0,1.0,1.0,1.0388,328,74
B3-027,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.2077,327,119
B3-028,C1,sdn_flow_config,0.8333,1.0,0.0,1.0,1.0,1.122,371,97
B3-029,C1,sdn_flow_config,1.0,1.0,0.0,1.0,1.0,1.0432,314,83
B3-030,C1,sdn_flow_config,0.6667,0.5,0.0,1.0,1.0,1.0402,324,92
B3-031,C1,ran_handover_config,1.0,1.0,0.0,1.0,1.0,1.1994,337,94
B3-032,C1,ran_handover_config,1.0,1.0,0.0,1.0,1.0,1.1259,348,118
B3-033,C1,ran_handover_config,0.8,1.0,0.0,1.0,1.0,1.0343,385,94
B3-034,C1,ran_handover_config,1.0,0.0,0.0,1.0,1.0,1.2934,329,104
B3-035,C1,ran_handover_config,0.6667,1.0,0.0,1.0,1.0,1.04,346,74
B3-036,C1,ran_handover_config,1.0,1.0,0.0,1.0,1.0,1.1263,327,94
B3-037,C1,ran_handover_config,1.0,0.0,0.0,1.0,1.0,1.1273,336,103
B3-038,C1,ran_handover_config,1.0,1.0,0.0,1.0,1.0,1.2198,374,135
B3-039,C1,slice_policy_config,0.75,1.0,0.0,1.0,1.0,1.1184,322,93
B3-040,C1,slice_policy_config,0.6667,1.0,0.0,1.0,1.0,1.1258,317,83
B3-041,C1,slice_policy_config,1.0,1.0,0.0,1.0,1.0,1.1185,358,76
B3-042,C1,slice_policy_config,1.0,1.0,0.0,1.0,1.0,1.0399,316,81
B3-043,C1,slice_policy_config,1.0,1.0,0.0,1.0,1.0,1.1227,315,90
B3-044,C1,slice_policy_config,0.75,1.0,0.0,1.0,1.0,1.1172,308,79
B3-045,C1,edge_acl_config,1.0,1.0,0.0,1.0,1.0,0.955,312,89
B3-046,C1,edge_acl_config,1.0,1.0,0.0,1.0,1.0,1.2134,307,111
B3-047,C1,operator_history_config,1.0,1.0,0.0,1.0,1.0,1.1133,316,93
B3-048,C1,operator_history_config,1.0,1.0,0.0,1.0,1.0,1.108,332,111
B3-049,C1,rag_doc_config,1.0,1.0,0.0,1.0,1.0,1.034,338,115
B3-050,C1,rag_doc_config,1.0,0.0,0.0,1.0,1.0,1.1222,386,117
B3-001,C2,firewall_config,1.0,1.0,0.0,1.0,,1.1277,342,115
B3-002,C2,firewall_config,1.0,1.0,0.0,1.0,,1.0399,347,146
B3-003,C2,firewall_config,0.25,1.0,0.0,1.0,,1.2983,399,188
B3-004,C2,firewall_config,1.0,1.0,0.0,1.0,,1.1406,337,124
B3-005,C2,firewall_config,1.0,1.0,0.0,1.0,,1.1151,339,122
B3-006,C2,firewall_config,1.0,1.0,0.0,1.0,,1.2962,359,144
B3-007,C2,firewall_config,0.75,1.0,0.0,1.0,,1.2174,415,75
B3-008,C2,firewall_config,0.75,1.0,0.0,1.0,,1.3887,347,121
B3-009,C2,firewall_config,1.0,1.0,0.0,1.0,,1.1196,328,103
B3-010,C2,firewall_config,1.0,1.0,0.0,1.0,,1.1344,352,130
B3-011,C2,qos_config,1.0,1.0,0.0,1.0,,3.0335,353,114
B3-012,C2,qos_config,0.8,1.0,0.0,1.0,,1.1239,348,100
B3-013,C2,qos_config,0.25,1.0,0.0,1.0,,1.2065,399,176
B3-014,C2,qos_config,1.0,1.0,0.0,1.0,,1.0452,333,95
B3-015,C2,qos_config,0.8,1.0,0.0,1.0,,1.1282,350,120
B3-016,C2,qos_config,0.6,1.0,0.0,1.0,,1.028,342,78
B3-017,C2,qos_config,1.0,1.0,0.0,1.0,,1.0342,343,103
B3-018,C2,qos_config,0.75,1.0,0.0,1.0,,1.0465,378,77
B3-019,C2,qos_config,1.0,1.0,0.0,1.0,,1.1263,355,128
B3-020,C2,qos_config,0.8,1.0,0.0,1.0,,1.1347,332,90
B3-021,C2,sdn_flow_config,1.0,1.0,0.0,1.0,,1.209,332,123
B3-022,C2,sdn_flow_config,1.0,1.0,0.0,1.0,,1.033,332,120
B3-023,C2,sdn_flow_config,1.0,1.0,0.0,1.0,,1.1325,422,143
B3-024,C2,sdn_flow_config,1.0,1.0,0.0,1.0,,1.2909,311,89
B3-025,C2,sdn_flow_config,0.8333,1.0,0.0,1.0,,1.2821,326,123
B3-026,C2,sdn_flow_config,0.6,0.5,0.0,1.0,,1.2184,334,97
B3-027,C2,sdn_flow_config,1.0,1.0,0.0,1.0,,1.1341,336,131
B3-028,C2,sdn_flow_config,0.3333,1.0,0.0,1.0,,0.9446,397,71
B3-029,C2,sdn_flow_config,1.0,1.0,0.0,1.0,,1.1312,318,95
B3-030,C2,sdn_flow_config,0.5,0.5,0.0,1.0,,1.1173,336,117
B3-031,C2,ran_handover_config,0.5,1.0,0.0,1.0,,1.0268,345,89
B3-032,C2,ran_handover_config,1.0,1.0,0.0,1.0,,1.052,341,93
B3-033,C2,ran_handover_config,0.2,1.0,0.0,1.0,,1.2993,413,149
B3-034,C2,ran_handover_config,1.0,0.0,0.0,1.0,,1.1249,336,129
B3-035,C2,ran_handover_config,0.6667,1.0,0.0,1.0,,1.0302,350,88
B3-036,C2,ran_handover_config,1.0,1.0,0.0,1.0,,1.1342,337,120
B3-037,C2,ran_handover_config,1.0,0.0,0.0,1.0,,1.1239,331,103
B3-038,C2,ran_handover_config,0.75,0.5,0.0,1.0,,1.209,389,162
B3-039,C2,slice_policy_config,0.5,1.0,0.0,1.0,,1.1325,330,97
B3-040,C2,slice_policy_config,0.6667,1.0,0.0,1.0,,0.9389,323,80
B3-041,C2,slice_policy_config,0.6667,1.0,0.0,1.0,,1.2123,379,86
B3-042,C2,slice_policy_config,1.0,1.0,0.0,1.0,,1.0451,326,91
B3-043,C2,slice_policy_config,0.75,1.0,0.0,1.0,,0.9467,320,97
B3-044,C2,slice_policy_config,1.0,1.0,0.0,1.0,,1.1265,320,110
B3-045,C2,edge_acl_config,1.0,1.0,0.0,1.0,,1.0354,314,97
B3-046,C2,edge_acl_config,1.0,1.0,0.0,1.0,,1.133,325,131
B3-047,C2,operator_history_config,1.0,1.0,0.0,1.0,,1.2926,331,129
B3-048,C2,operator_history_config,0.5,1.0,0.0,1.0,,1.2272,363,186
B3-049,C2,rag_doc_config,1.0,1.0,0.0,1.0,,1.195,351,148
B3-050,C2,rag_doc_config,0.8,0.0,0.0,1.0,,1.2231,402,138
B3-001,C3,firewall_config,1.0,1.0,0.0,1.0,,1.1119,342,115
B3-002,C3,firewall_config,1.0,1.0,0.0,1.0,,1.0388,347,146
B3-003,C3,firewall_config,0.75,1.0,0.0,1.0,,1.054,401,107
B3-004,C3,firewall_config,1.0,1.0,0.0,1.0,,1.1008,337,124
B3-005,C3,firewall_config,1.0,1.0,0.0,1.0,,1.0292,339,122
B3-006,C3,firewall_config,1.0,1.0,0.0,1.0,,1.1309,360,137
B3-007,C3,firewall_config,0.75,1.0,0.0,1.0,,1.2059,415,75
B3-008,C3,firewall_config,0.75,1.0,0.0,1.0,,1.1265,348,122
B3-009,C3,firewall_config,0.8,1.0,0.0,1.0,,1.0359,329,75
B3-010,C3,firewall_config,0.8,1.0,0.0,1.0,,1.1361,352,121
B3-011,C3,qos_config,1.0,1.0,0.0,1.0,,1.1215,353,114
B3-012,C3,qos_config,0.8,1.0,0.0,1.0,,1.1143,349,112
B3-013,C3,qos_config,0.75,1.0,0.0,1.0,,1.2997,399,112
B3-014,C3,qos_config,1.0,1.0,0.0,1.0,,1.0407,333,103
B3-015,C3,qos_config,0.8,1.0,0.0,1.0,,1.026,349,120
B3-016,C3,qos_config,0.6,1.0,0.0,1.0,,1.0389,341,107
B3-017,C3,qos_config,1.0,1.0,0.0,1.0,,1.0284,342,103
B3-018,C3,qos_config,0.75,1.0,0.0,1.0,,1.0404,378,95
B3-019,C3,qos_config,1.0,1.0,0.0,1.0,,1.1193,355,128
B3-020,C3,qos_config,1.0,1.0,0.0,1.0,,1.0392,333,103
B3-021,C3,sdn_flow_config,1.0,1.0,0.0,1.0,,1.1179,332,123
B3-022,C3,sdn_flow_config,0.8,1.0,0.0,1.0,,1.1223,332,116
B3-023,C3,sdn_flow_config,1.0,1.0,0.0,1.0,,1.0441,424,147
B3-024,C3,sdn_flow_config,0.8,1.0,0.0,1.0,,1.0309,311,89
B3-025,C3,sdn_flow_config,0.8333,1.0,0.0,1.0,,1.3006,327,125
B3-026,C3,sdn_flow_config,0.6,0.5,0.0,1.0,,1.1202,334,98
B3-027,C3,sdn_flow_config,1.0,1.0,0.0,1.0,,1.1276,335,129
B3-028,C3,sdn_flow_config,0.6667,0.5,0.0,1.0,,1.1323,397,111
B3-029,C3,sdn_flow_config,1.0,1.0,0.0,1.0,,1.0181,319,97
B3-030,C3,sdn_flow_config,0.6667,0.5,0.0,1.0,,1.127,336,117
B3-031,C3,ran_handover_config,1.0,1.0,0.0,1.0,,1.0467,347,122
