condition,n,field_match,accuracy,leakage,cmd_valid,unmask_success,mean_latency,mean_in_tok,mean_out_tok
C0,50,0.8763,0.91,0.9337,1.0,,1.4691,1078.7,130.8
C1,50,0.8793,0.91,0.0,1.0,1.0,1.4842,1084.14,138.84
C2,50,0.8493,0.9,0.0,1.0,,1.6572,1081.48,137.66
C3,50,0.8467,0.9,0.0,1.0,,1.6199,1081.86,136.02
