condition,n,field_match,accuracy,leakage,cmd_valid,unmask_success,mean_latency,mean_in_tok,mean_out_tok
C0,50,0.8873,0.9,0.9533,1.0,,1.278,366.22,71.92
C1,50,0.8883,0.9,0.0,1.0,1.0,1.115,367.68,78.38
C2,50,0.834,0.9,0.0,1.0,,1.5096,367.9,76.44
C3,50,0.8523,0.89,0.0,1.0,,1.357,368.34,74.5
